Date,Open,High,Low,Close,Volume
2023-05-26,80.32,82.54,80.31,82.39,15160000
2023-05-30,83.60,84.02,82.65,82.83,18123600
2023-05-31,82.36,83.13,82.10,82.14,19301000
2023-06-01,81.88,83.32,81.61,82.97,17419400
2023-06-02,83.46,83.83,82.86,83.45,14270600
2023-06-05,83.40,83.96,82.82,82.97,10909000
2023-06-06,82.77,83.13,82.36,82.95,9975600
2023-06-07,82.79,83.43,81.54,81.71,13703800
2023-06-08,81.83,82.72,81.77,82.60,10665200
2023-06-09,83.00,83.86,82.72,83.00,14413600
2023-06-12,83.57,84.85,83.40,84.81,13787200
2023-06-13,85.57,85.73,84.64,85.32,16595800
2023-06-14,85.22,86.24,84.93,86.21,16769000
2023-06-15,85.86,87.71,85.83,87.32,17732600
2023-06-16,88.14,88.15,86.51,86.60,17366600
2023-06-20,85.92,86.45,85.37,85.83,14137800
2023-06-21,85.50,85.67,84.31,84.56,12058000
2023-06-22,84.18,85.29,84.17,85.25,15224200
2023-06-23,84.20,84.82,83.97,84.32,14729000
2023-06-26,84.40,85.14,83.66,83.72,10890200
2023-06-27,84.06,85.57,83.97,85.37,13833000
2023-06-28,84.89,85.88,84.83,85.42,11371600
2023-06-29,85.51,85.72,85.06,85.57,9128200
2023-06-30,86.42,87.15,86.36,86.93,11398400
2023-07-03,86.92,86.96,86.31,86.75,6182200
2023-07-05,86.14,86.86,86.07,86.21,9395600
2023-07-06,85.36,86.06,85.10,85.98,12116400
2023-07-07,85.84,86.64,85.56,85.61,11622200
2023-07-10,85.29,85.83,84.97,85.83,16877200
2023-07-11,86.01,86.11,85.18,86.01,9996000
2023-07-12,86.88,87.40,86.40,86.99,16104400
2023-07-13,87.58,88.32,87.41,88.12,9349200
2023-07-14,88.35,89.04,87.74,88.00,11543800
2023-07-17,88.16,89.38,88.06,89.12,11858800
2023-07-18,88.92,90.57,88.45,90.13,16406000
2023-07-19,90.36,90.73,89.56,89.90,20990000
2023-07-20,89.33,89.71,87.83,88.11,24356000
2023-07-21,88.67,89.11,87.96,88.07,14871400
2023-07-24,88.46,88.67,87.88,88.22,11308200
2023-07-25,88.50,89.53,88.49,89.23,10802200
2023-07-26,88.29,88.51,87.41,88.03,15501600
2023-07-27,89.22,89.49,87.38,87.78,13857000
2023-07-28,88.59,89.24,88.40,88.97,11287400
2023-07-31,89.05,89.29,88.67,89.18,10138400
2023-08-01,88.89,89.51,88.65,89.32,8845800
2023-08-02,88.54,88.60,86.80,87.11,15818600
2023-08-03,86.40,87.27,86.35,86.76,11321000
2023-08-04,86.46,86.99,85.44,85.58,14431800
2023-08-07,85.94,86.24,85.20,85.82,9536000
2023-08-08,85.22,85.27,84.31,85.16,11461800
2023-08-09,85.28,85.28,83.77,84.06,14301800
2023-08-10,84.70,85.43,83.65,84.07,12731400
2023-08-11,83.40,83.94,83.16,83.45,10772000
2023-08-14,83.36,84.79,83.17,84.78,10328000
2023-08-15,84.53,84.83,83.75,83.94,9366400
2023-08-16,83.76,84.25,83.14,83.14,9779400
2023-08-17,83.51,83.67,82.23,82.36,12614800
2023-08-18,81.52,82.82,81.47,82.48,13658600
2023-08-21,82.90,84.22,82.82,84.06,13132800
2023-08-22,84.81,84.86,83.78,83.96,11361800
2023-08-23,84.17,85.72,84.16,85.47,10113200
2023-08-24,86.55,86.56,83.44,83.50,13929000
2023-08-25,83.84,84.82,83.10,84.36,15686600
2023-08-28,85.00,85.22,84.39,85.04,8963800
2023-08-29,84.80,86.83,84.71,86.75,13713800
2023-08-30,86.76,87.50,86.46,87.40,12266600
2023-08-31,87.61,88.17,87.51,87.83,11963400
2023-09-01,88.38,88.50,87.65,88.10,9244600
2023-09-05,87.88,88.69,87.60,88.42,10060400
2023-09-06,88.07,88.29,86.94,87.48,18143200
2023-09-07,85.86,86.40,85.54,86.21,12513600
2023-09-08,86.21,86.95,86.17,86.39,8584800
